gene,uniprot,text_call,confidence,text_dead_final,rationale_pass2,func_excerpt
PTPRC,P08575,active,high,False,,Protein tyrosine-protein phosphatase required for T-cell activation through the antigen receptor. Acts as a positive reg
PTP4A1,Q93096,active,high,False,,Protein tyrosine phosphatase which stimulates progression from G1 into S phase during mitosis. May play a role in the de
PTP4A2,Q12974,active,high,False,,Protein tyrosine phosphatase which stimulates progression from G1 into S phase during mitosis. Promotes tumors. Inhibits
CDC14A,Q9UNH5,active,high,False,,Dual-specificity phosphatase. Required for centrosome separation and productive cytokinesis during cell division. Dephos
PTP4A3,O75365,active,high,False,,Protein tyrosine phosphatase which stimulates progression from G1 into S phase during mitosis. Enhances cell proliferati
PTPRH,Q9HD43,active,high,False,,Protein phosphatase that may contribute to contact inhibition of cell growth and motility by mediating the dephosphoryla
PTPRZ1,P23471,active,high,False,,Protein tyrosine phosphatase that negatively regulates oligodendrocyte precursor proliferation in the embryonic spinal c
PTPRG,P23470,active,high,False,,Possesses tyrosine phosphatase activity..
PTPRB,P23467,active,high,False,,Plays an important role in blood vessel remodeling and angiogenesis. Not necessary for the initial formation of blood ve
PTPRR,Q15256,inactive,high,False,"Describes MAPKs as inactive, not this protein's own catalytic activity","Sequesters mitogen-activated protein kinases (MAPKs) such as MAPK1, MAPK3 and MAPK14 in the cytoplasm in an inactive for"
PTPRO,Q16827,active,high,False,,Possesses tyrosine phosphatase activity. Plays a role in regulating the glomerular pressure/filtration rate relationship
PTPRJ,Q12913,active,high,False,,"Tyrosine phosphatase which dephosphorylates or contributes to the dephosphorylation of CTNND1, FLT3, PDGFRB, MET, KDR, L"
PTPN20,Q4JDL3,active,high,False,,Tyrosine-protein phosphatase targeted to sites of actin polymerization in response of varied extracellular stimuli. Has 
PTPN7,P35236,active,high,False,,Protein phosphatase that acts preferentially on tyrosine-phosphorylated MAPK1. Plays a role in the regulation of T and B
PTPRQ,Q9UMZ3,ambiguous,med,False,,"Dephosphorylates phosphatidylinositol phosphates, such as phosphatidylinositol 3,4,5-trisphosphate (PIP3) and phosphatid"
PTPN4,P29074,ambiguous,med,False,,"Phosphatase that plays a role in immunity, learning, synaptic plasticity or cell homeostasis. Regulates neuronal cell ho"
PTPN6,P29350,active,high,False,,Tyrosine phosphatase enzyme that plays important roles in controlling immune signaling pathways and fundamental physiolo
PTPN5,P54829,ambiguous,high,False,,"May regulate the activity of several effector molecules involved in synaptic plasticity and neuronal cell survival, incl"
PTPN11,Q06124,active,high,False,,Acts downstream of various receptor and cytoplasmic protein tyrosine kinases to participate in the signal transduction f
PTPDC1,A2A3K4,ambiguous,low,False,,May play roles in cilia formation and/or maintenance..
PTPN9,P43378,active,high,False,,Protein-tyrosine phosphatase that could participate in the transfer of hydrophobic ligands or in functions of the Golgi 
PTPN3,P26045,active,high,False,,May act at junctions between the membrane and the cytoskeleton. Possesses tyrosine phosphatase activity.
PTPN14,Q15678,active,high,False,,"Protein tyrosine phosphatase which may play a role in the regulation of lymphangiogenesis, cell-cell adhesion, cell-matr"
DUSP23,Q9BVJ7,active,high,False,,"Protein phosphatase that mediates dephosphorylation of proteins phosphorylated on Tyr and Ser/Thr residues. In vitro, it"
PTPN13,Q12923,ambiguous,med,False,,Tyrosine phosphatase which negatively regulates FAS-induced apoptosis and NGFR-mediated pro-apoptotic signaling. May reg
PTPN22,Q9Y2R2,active,high,False,,Acts as a negative regulator of T-cell receptor (TCR) signaling by direct dephosphorylation of the Src family kinases LC
PTPRN2,Q92932,ambiguous,med,False,,Plays a role in vesicle-mediated secretory processes. Required for normal accumulation of secretory vesicles in hippocam
PTPN12,Q05209,active,high,False,,"Dephosphorylates a range of proteins, and thereby regulates cellular signaling cascades. Dephosphorylates cellular tyros"
PTPN18,Q99952,active,high,False,,Differentially dephosphorylate autophosphorylated tyrosine kinases which are known to be overexpressed in tumor tissues.
DUSP11,O75319,active,high,False,,"Possesses RNA 5'-triphosphatase and diphosphatase activities, but displays a poor protein-tyrosine phosphatase activity."
CDKN3,Q16667,active,high,False,,May play a role in cell cycle regulation. Dual specificity CC phosphatase active toward substrates containing either pho
PTPRN,Q16849,ambiguous,med,False,,Plays a role in vesicle-mediated secretory processes. Required for normal accumulation of secretory vesicles in hippocam
RNGTT,O60942,active,high,False,,Bifunctional mRNA-capping enzyme exhibiting RNA 5'-triphosphate monophosphatase activity in the N-terminal part and mRNA
PTPMT1,Q8WUK0,active,high,False,,Lipid phosphatase which dephosphorylates phosphatidylglycerophosphate (PGP) to phosphatidylglycerol (PG) (By similarity)
PTPN2,P17706,active,high,False,,"Non-receptor type tyrosine-specific phosphatase that dephosphorylates receptor protein tyrosine kinases including INSR, "
PTPN1,P18031,active,high,False,,Tyrosine-protein phosphatase which acts as a regulator of endoplasmic reticulum unfolded protein response. Mediates deph
PTPN23,Q9H3S7,active,high,False,,Plays a role in sorting of endocytic ubiquitinated cargos into multivesicular bodies (MVBs) via its interaction with the
DUSP3,P51452,active,high,False,,"Shows activity both for tyrosine-protein phosphate and serine-protein phosphate, but displays a strong preference toward"
AMY1B,P0DTE7,active,high,False,,Calcium-binding enzyme that initiates starch digestion in the oral cavity. Catalyzes the hydrolysis of internal (1->4)-a
AMY1C,P0DTE8,active,high,False,,Calcium-binding enzyme that initiates starch digestion in the oral cavity. Catalyzes the hydrolysis of internal (1->4)-a
AMY1A,P0DUB6,active,high,False,,Calcium-binding enzyme that initiates starch digestion in the oral cavity. Catalyzes the hydrolysis of internal (1->4)-a
SLC3A1,Q07837,active,high,False,,Acts as a chaperone that facilitates biogenesis and trafficking of functional transporter heteromers to the plasma membr
PHPT1,Q9NRX4,active,high,False,,Exhibits phosphohistidine phosphatase activity..
CEL,P19835,active,high,False,,"Catalyzes the hydrolysis of a wide range of substrates including cholesteryl esters, phospholipids, lysophospholipids, d"
NLGN4Y,Q8NFZ3,ambiguous,high,False,,Cell surface protein involved in cell-cell-interactions via its interactions with neurexin family members..
NLGN4X,Q8N0W4,ambiguous,high,False,,Cell surface protein involved in cell-cell-interactions via its interactions with neurexin family members..
NLGN2,Q8NFZ4,inactive,high,False,No statement this protein lost or lacks its own catalytic activity,Transmembrane scaffolding protein involved in cell-cell interactions via its interactions with neurexin family members. 
NLGN3,Q9NZ94,ambiguous,med,False,,Cell surface protein involved in cell-cell-interactions via its interactions with neurexin family members. Plays a role 
NLGN1,Q8N2Q7,ambiguous,high,False,,Cell surface protein involved in cell-cell-interactions via its interactions with neurexin family members. Plays a role 
CES4A,Q5XG92,ambiguous,low,False,,Probable carboxylesterase..
BCHE,P06276,active,high,False,,Esterase with broad substrate specificity. Contributes to the inactivation of the neurotransmitter acetylcholine. Can de
CES1,P23141,active,high,False,,Involved in the detoxification of xenobiotics and in the activation of ester and amide prodrugs. Hydrolyzes aromatic and
CES2,O00748,active,high,False,,Involved in the detoxification of xenobiotics and in the activation of ester and amide prodrugs. Shows high catalytic ef
ACHE,P22303,active,high,False,,Hydrolyzes rapidly the acetylcholine neurotransmitter released into the synaptic cleft allowing to terminate the signal 
CES3,Q6UWW8,active,high,False,,Involved in the detoxification of xenobiotics and in the activation of ester and amide prodrugs. Shows low catalytic eff
CES5A,Q6NT32,ambiguous,low,False,,Involved in the detoxification of xenobiotics and in the activation of ester and amide prodrugs..
TG,P01266,ambiguous,med,False,,Acts as a substrate for the production of iodinated thyroid hormones thyroxine (T4) and triiodothyronine (T3). The synth
CES1P1,Q9UKY3,inactive,high,True,Direct statement protein has no esterase activity,Has no esterase activity..
AADAC,P22760,active,high,False,,"Displays cellular triglyceride lipase activity in liver, increases the levels of intracellular fatty acids derived from "
GNE,Q9Y223,active,high,False,,"Bifunctional enzyme that possesses both UDP-N-acetylglucosamine 2-epimerase and N-acetylmannosamine kinase activities, a"
CHIT1,Q13231,ambiguous,med,False,,"Degrades chitin, chitotriose and chitobiose. May participate in the defense against nematodes and other pathogens. Isofo"
CHI3L1,P36222,inactive,high,True,Explicitly states 'Has no chitinase activity' for this protein,Carbohydrate-binding lectin with a preference for chitin. Has no chitinase activity. May play a role in tissue remodelin
CHIA,Q9BZP6,active,high,False,,"Degrades chitin and chitotriose. May participate in the defense against nematodes, fungi and other pathogens. Plays a ro"
CHI3L2,Q15782,inactive,high,True,Explicit statement it has no chitinase activity,"Lectin that binds chitooligosaccharides and other glycans with high affinity, but not heparin. Has no chitinase activity"
OVGP1,Q12889,ambiguous,low,False,,Binds to oocyte zona pellucida in vivo. May play a role in the fertilization process and/or early embryonic development.
CTBS,Q01459,active,high,False,,"Reducing-end exoglycosidase involved in glycan degradation. Hydrolyzes N,N'-diacetylchitobiose (GlnNAc2) and higher chit"
CTSH,P09668,ambiguous,low,False,,Important for the overall degradation of proteins in lysosomes.
CTSV,O60911,ambiguous,low,False,,Cysteine protease. May have an important role in corneal physiology..
CTSL,P07711,active,high,False,,Thiol protease important for the overall degradation of proteins in lysosomes (Probable). Plays a critical for normal ce
CTSK,P43235,active,high,False,,Thiol protease involved in osteoclastic bone resorption and may participate partially in the disorder of bone remodeling
CTSS,P25774,active,high,False,,Thiol protease. Key protease responsible for the removal of the invariant chain from MHC class II molecules and MHC clas
CTSW,P56202,ambiguous,high,False,,May have a specific function in the mechanism or regulation of T-cell cytolytic activity.; (Microbial infection) Plays a
CTSF,Q9UBX1,ambiguous,low,False,,Thiol protease which is believed to participate in intracellular degradation and turnover of proteins. Has also been imp
CTSO,P43234,ambiguous,med,False,,Proteolytic enzyme possibly involved in normal cellular protein degradation and turnover.
CTSC,P53634,active,high,False,,Thiol protease. Has dipeptidylpeptidase activity. Active against a broad range of dipeptide substrates composed of both 
TINAGL1,Q9GZM7,inactive,high,True,Explicitly stated non-catalytic peptidase C1 family protein,May be implicated in the adrenocortical zonation and in mechanisms for repressing the CYP11B1 gene expression in adrenoc
CTSB,P07858,active,med,False,,Thiol protease which is believed to participate in intracellular degradation and turnover of proteins. Cleaves matrix ex
CTSZ,Q9UBR2,active,high,False,,Exhibits carboxy-monopeptidase as well as carboxy-dipeptidase activity. Capable of producing kinin potentiating peptides
TINAG,Q9UJW2,inactive,high,True,Explicitly stated as non-catalytic peptidase C1 family protein,Mediates adhesion of proximal tubule epithelial cells via integrins alpha3-beta1 and alphaV-beta3. This is a non catalyt
BLMH,Q13867,active,high,False,,"The normal physiological role of BLM hydrolase is unknown, but it catalyzes the inactivation of the antitumor drug BLM ("
TXNRD3,Q86VQ6,active,high,False,,"Displays thioredoxin reductase, glutaredoxin and glutathione reductase activities. Catalyzes disulfide bond isomerizatio"
TXNRD1,Q16881,active,high,False,,Reduces disulfide protein thioredoxin (Trx) to its dithiol-containing form. Homodimeric flavoprotein involved in the reg
GSR,P00390,active,high,False,,Catalyzes the reduction of glutathione disulfide (GSSG) to reduced glutathione (GSH). Constitutes the major mechanism to
DLD,P09622,active,high,False,,Lipoamide dehydrogenase is a component of the glycine cleavage system as well as an E3 component of three alpha-ketoacid
TXNRD2,Q9NNW7,ambiguous,med,False,,Involved in the control of reactive oxygen species levels and the regulation of mitochondrial redox homeostasis. Maintai
PYROXD2,Q8N2H3,ambiguous,med,False,,Probable oxidoreductase that may play a role as regulator of mitochondrial function..
KDM1B,Q8NB78,active,high,False,,"Histone demethylase that demethylates 'Lys-4' of histone H3, a specific tag for epigenetic transcriptional activation, t"
LPO,P22079,active,high,False,,Heme-containing oxidoreductase which catalyzes the conversion of thiocyanate (SCN(-)) into antimicrobial agent hypothioc
MPO,P05164,active,high,False,,Peroxidase that plays a central role in the host defense system of polymorphonuclear leukocytes by mediating both (1) fo
EPX,P11678,active,high,False,,"Heme-containing oxidoreductase that catalyzes the oxidation of small anions, such as nitrite, halides (e.g bromide and c"
TPO,P07202,active,high,False,,Iodination and coupling of the hormonogenic tyrosines in thyroglobulin to yield the thyroid hormones T(3) and T(4)..
PXDN,Q92626,active,high,False,,Catalyzes the two-electron oxidation of bromide by hydrogen peroxide and generates hypobromite as a reactive intermediat
PXDNL,A1KZ92,inactive,high,True,Lacks peroxidase activity stated directly about this protein,Probable oxidoreductase (Probable). Lacks peroxidase activity. Inhibits the peroxidase activity of PXDN through its inte
DUOX1,Q9NRD9,active,high,False,,Generates hydrogen peroxide (H2O2) which is required for the activity of thyroid peroxidase/TPO and lactoperoxidase/LPO.
DUOX2,Q9NRD8,active,high,False,,Generates hydrogen peroxide which is required for the activity of thyroid peroxidase/TPO and lactoperoxidase/LPO. Plays 
PTGS2,P35354,active,high,False,,"Dual cyclooxygenase and peroxidase in the biosynthesis pathway of prostanoids, a class of C20 oxylipins mainly derived f"
B3GAT3,O94766,active,high,False,,Glycosaminoglycans biosynthesis. Involved in forming the linkage tetrasaccharide present in heparan sulfate and chondroi
B3GAT1,Q9P2W7,active,high,False,,Involved in the biosynthesis of L2/HNK-1 carbohydrate epitope on glycoproteins. Can also play a role in glycosaminoglyca
B3GAT2,Q9NPZ5,active,high,False,,Involved in the biosynthesis of L2/HNK-1 carbohydrate epitope on both glycolipids and glycoproteins..
ACO2,Q99798,active,high,False,,Catalyzes the isomerization of citrate to isocitrate via cis-aconitate..
ACO1,P21399,ambiguous,med,False,,"Bifunctional iron sensor that switches between 2 activities depending on iron availability. Iron deprivation, promotes i"
HAO1,Q9UJM8,active,high,False,,Broad substrate specificity (S)-2-hydroxy-acid oxidase that preferentially oxidizes glycolate. The glyoxylate produced b
HAO2,Q9NYQ3,active,high,False,,Oxidase that catalyzes the oxidation of medium and long chain hydroxyacids such as 2-hydroxyhexadecanoate and 2-hydroxyo
CTSA,P10619,active,high,False,,"Protective protein appears to be essential for both the activity of beta-galactosidase and neuraminidase, it associates "
CPVL,Q9H3G5,ambiguous,high,False,,"May be involved in the digestion of phagocytosed particles in the lysosome, participation in an inflammatory protease ca"
SCPEP1,Q9HB40,ambiguous,low,False,,May be involved in vascular wall and kidney homeostasis..
AIFM3,Q96NN9,active,high,False,,Induces apoptosis through a caspase dependent pathway. Reduces mitochondrial membrane potential..
AIFM2,Q9BRQ8,active,high,False,,"A NAD(P)H-dependent oxidoreductase that acts as a key inhibitor of ferroptosis. At the plasma membrane, catalyzes reduct"
AIFM1,O95831,active,high,False,,"Functions both as NADH oxidoreductase and as regulator of apoptosis. In response to apoptotic stimuli, it is released fr"
PYROXD1,Q8WU10,inactive,high,False,"Inactivity refers to RTCB, not this flavoprotein's own activity","Flavoprotein whose role is to protect RTCB, the catalytic subunit of the tRNA ligase complex (tRNA-LC) involved in tRNA "
CYP3A4,P08684,active,high,False,,"A cytochrome P450 monooxygenase involved in the metabolism of sterols, steroid hormones, retinoids and fatty acids. Mech"
CYP3A5,P20815,active,high,False,,"A cytochrome P450 monooxygenase involved in the metabolism of steroid hormones and vitamins. Mechanistically, uses molec"
CYP3A7,P24462,active,high,False,,A cytochrome P450 monooxygenase involved in the metabolism of steroid hormones and vitamins during embryogenesis. Mechan
CYP3A43,Q9HB55,active,med,False,,Exhibits low testosterone 6-beta-hydroxylase activity in vitro. The physiological substrate of this enzyme is unknown..
CYP26C1,Q6V0L0,active,high,False,,"A cytochrome P450 monooxygenase involved in the metabolism of retinoates (RAs), the active metabolites of vitamin A, and"
CYP4V2,Q6ZWL3,active,high,False,,A cytochrome P450 monooxygenase involved in fatty acid metabolism in the eye. Catalyzes the omega-hydroxylation of polyu
CYP2C9,P11712,active,high,False,,"A cytochrome P450 monooxygenase involved in the metabolism of various endogenous substrates, including fatty acids and s"
CYP2C19,P33261,active,high,False,,"A cytochrome P450 monooxygenase involved in the metabolism of polyunsaturated fatty acids (PUFA). Mechanistically, uses "
CYP2C8,P10632,active,med,False,,"A cytochrome P450 monooxygenase involved in the metabolism of various endogenous substrates, including fatty acids, ster"
CYP2C18,P33260,active,high,False,,A cytochrome P450 monooxygenase involved in retinoid metabolism. Hydroxylates all trans-retinoic acid (atRA) to 4-hydrox
TBXAS1,P24557,active,high,False,,"Catalyzes the conversion of prostaglandin H2 (PGH2) to thromboxane A2 (TXA2), a potent inducer of blood vessel constrict"
CYP27B1,O15528,active,high,False,,A cytochrome P450 monooxygenase involved in vitamin D metabolism and in calcium and phosphorus homeostasis. Catalyzes th
CYP27C1,Q4G0S4,active,high,False,,"[Isoform 2]: A cytochrome P450 monooxygenase that catalyzes the 3,4 desaturation of all-trans-retinol (also called vitam"
CYP2A7,P20853,active,high,False,,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-d"
CYP2A6,P11509,active,high,False,,"Exhibits a high coumarin 7-hydroxylase activity. Can act in the hydroxylation of the anti-cancer drugs cyclophosphamide,"
CYP27A1,Q02318,active,high,False,,Cytochrome P450 monooxygenase that catalyzes regio- and stereospecific hydroxylation of cholesterol and its derivatives.
CYP2A13,Q16696,active,high,False,,"Exhibits a coumarin 7-hydroxylase activity. Active in the metabolic activation of hexamethylphosphoramide, N,N-dimethyla"
CYP26B1,Q9NR63,ambiguous,med,False,,"A cytochrome P450 monooxygenase involved in the metabolism of retinoates (RAs), the active metabolites of vitamin A, and"
CYP4F12,Q9HCS2,active,high,False,,A cytochrome P450 monooxygenase involved in the metabolism of endogenous polyunsaturated fatty acids (PUFAs). Mechanisti
CYP2E1,P05181,active,high,False,,"A cytochrome P450 monooxygenase involved in the metabolism of fatty acids. Mechanistically, uses molecular oxygen insert"
CYP4F11,Q9HBI6,active,high,False,,"A cytochrome P450 monooxygenase involved in the metabolism of various endogenous substrates, including fatty acids and t"
CYP4F3,Q08477,active,high,False,,"A cytochrome P450 monooxygenase involved in the metabolism of various endogenous substrates, including fatty acids and t"
CYP4F2,P78329,active,high,False,,"A cytochrome P450 monooxygenase involved in the metabolism of various endogenous substrates, including fatty acids, eico"
CYP21A2,P08686,active,high,False,,A cytochrome P450 monooxygenase that plays a major role in adrenal steroidogenesis. Catalyzes the hydroxylation at C-21 
CYP4F8,P98187,active,high,False,,A cytochrome P450 monooxygenase involved in the metabolism of endogenous polyunsaturated fatty acids (PUFAs) and their o
CYP2R1,Q6VVX0,active,high,False,,A cytochrome P450 monooxygenase involved in activation of vitamin D precursors. Catalyzes hydroxylation at C-25 of both 
CYP4A11,Q02928,active,high,False,,A cytochrome P450 monooxygenase involved in the metabolism of fatty acids and their oxygenated derivatives (oxylipins). 
CYP2F1,P24903,active,high,False,,May be involved in the metabolism of various pneumotoxicants including naphthalene. Is able to dealkylate ethoxycoumarin
CYP2B6,P20813,active,high,False,,"A cytochrome P450 monooxygenase involved in the metabolism of endocannabinoids and steroids. Mechanistically, uses molec"
CYP11A1,P05108,active,high,False,,"A cytochrome P450 monooxygenase that catalyzes the side-chain hydroxylation and cleavage of cholesterol to pregnenolone,"
CYP2D6,P10635,active,high,False,,"A cytochrome P450 monooxygenase involved in the metabolism of fatty acids, steroids and retinoids. Mechanistically, uses"
CYP4Z1,Q86W10,active,high,False,,A cytochrome P450 monooxygenase that catalyzes the in-chain oxidation of fatty acids. Catalyzes the hydroxylation of car
CYP24A1,Q07973,active,high,False,,A cytochrome P450 monooxygenase with a key role in vitamin D catabolism and calcium homeostasis. Via C24- and C23-oxidat
CYP2W1,Q8TAV3,active,high,False,,A cytochrome P450 monooxygenase that may play a role in retinoid and phospholipid metabolism. Catalyzes the hydroxylatio
CYP4F22,Q6NT55,active,high,False,,A cytochrome P450 monooxygenase involved in epidermal ceramide biosynthesis. Hydroxylates the terminal carbon (omega-hyd
CYP4A22,Q5TCH4,active,high,False,,Catalyzes the omega- and (omega-1)-hydroxylation of various fatty acids such as laurate and palmitate. Shows no activity
CYP2S1,Q96SQ9,ambiguous,med,False,,"A cytochrome P450 monooxygenase involved in the metabolism of retinoids and eicosanoids. In epidermis, may contribute to"
CYP2J2,P51589,active,high,False,,A cytochrome P450 monooxygenase involved in the metabolism of polyunsaturated fatty acids (PUFA) in the cardiovascular s
CYP26A1,O43174,ambiguous,med,False,,"A cytochrome P450 monooxygenase involved in the metabolism of retinoates (RAs), the active metabolites of vitamin A, and"
CYP4B1,P13584,active,high,False,,Catalyzes the omega- and (omega-1)-hydroxylation of saturated fatty acids and n-alkanes (By similarity). Also bioactivat
CYP2U1,Q7Z449,active,high,False,,"A cytochrome P450 monooxygenase involved in the metabolism of arachidonic acid and its conjugates. Mechanistically, uses"
CYP4X1,Q8N118,active,high,False,,A cytochrome P450 monooxygenase that selectively catalyzes the epoxidation of the last double bond of the arachidonoyl m
CYP11B2,P19099,active,high,False,,"A cytochrome P450 monooxygenase that catalyzes the biosynthesis of aldosterone, the main mineralocorticoid in the human "
CYP11B1,P15538,active,high,False,,A cytochrome P450 monooxygenase mainly involved in the biosynthesis of adrenal corticoids. Catalyzes a variety of reacti
CYP46A1,Q9Y6A2,active,high,False,,P450 monooxygenase that plays a major role in cholesterol homeostasis in the brain. Primarily catalyzes the hydroxylatio
CYP1A1,P04798,active,high,False,,"A cytochrome P450 monooxygenase involved in the metabolism of various endogenous substrates, including fatty acids, ster"
CYP17A1,P05093,active,high,False,,A cytochrome P450 monooxygenase involved in corticoid and androgen biosynthesis. Catalyzes 17-alpha hydroxylation of C21
CYP2D7,A0A087X1C5,active,med,False,,May be responsible for the metabolism of many drugs and environmental chemicals that it oxidizes. It may be involved in 
CYP51A1,Q16850,ambiguous,med,False,,"Sterol 14alpha-demethylase that plays a critical role in the cholesterol biosynthesis pathway, being cholesterol the maj"
CYP1A2,P05177,active,high,False,,"A cytochrome P450 monooxygenase involved in the metabolism of various endogenous substrates, including fatty acids, ster"
CYP1B1,Q16678,active,med,False,,"A cytochrome P450 monooxygenase involved in the metabolism of various endogenous substrates, including fatty acids, ster"
CYP19A1,P11511,active,high,False,,"A cytochrome P450 monooxygenase that catalyzes the conversion of C19 androgens, androst-4-ene-3,17-dione (androstenedion"
CYP39A1,Q9NYL5,active,high,False,,A cytochrome P450 monooxygenase involved in neural cholesterol clearance through bile acid synthesis. Catalyzes 7-alpha 
CYP7B1,O75881,active,high,False,,"A cytochrome P450 monooxygenase involved in the metabolism of endogenous oxysterols and steroid hormones, including neur"
CYP7A1,P22680,active,high,False,,A cytochrome P450 monooxygenase involved in the metabolism of endogenous cholesterol and its oxygenated derivatives (oxy
CYP8B1,Q9UNU6,active,high,False,,Sterol 12-alpha-hydroxylase involved in primary bile acid biosynthesis by catalyzing the 12alpha-hydroxylation of key in
PTGIS,Q16647,active,high,False,,Catalyzes the biosynthesis and metabolism of eicosanoids. Catalyzes the isomerization of prostaglandin H2 to prostacycli
NAGA,P17050,active,high,False,,Removes terminal alpha-N-acetylgalactosamine residues from glycolipids and glycopeptides. Required for the breakdown of 
GLA,P06280,active,high,False,,Catalyzes the hydrolysis of glycosphingolipids and participates in their degradation in the lysosome..
SUGCT,Q9HAC7,active,high,False,,Coenzyme A (CoA) transferase that reversibly catalyzes the transfer of a CoA moiety from a dicarboxyl-CoA to a dicarboxy
AMACR,Q9UHK6,active,high,False,,Catalyzes the interconversion of (R)- and (S)-stereoisomers of alpha-methyl-branched-chain fatty acyl-CoA esters. Acts o
TST,Q16762,active,high,False,,"Catalyzes the transfer of sulfur ion from thiosulfate to cyanide, although other thiol compounds, besides cyanide, can a"
MPST,P25325,active,high,False,,Transfer of a sulfur ion to cyanide or to other thiol compounds. Also has weak rhodanese activity. Detoxifies cyanide an
TSTD1,Q8NFU3,active,high,False,,"Thiosulfate:glutathione sulfurtransferase (TST) required to produce S-sulfanylglutathione (GSS(-)), a central intermedia"
INPP1,P49441,active,high,False,,"Mg(2+)-dependent phosphatase that catalyzes the hydrolysis of the 1-position phosphate from inositol 1,4-bisphosphate an"
BPNT1,O95861,active,high,False,,"Phosphatase that converts 3'(2')-phosphoadenosine 5'-phosphate (PAP) to AMP and inositol 1,4-bisphosphate (Ins(1,4)P2) t"
BPNT2,Q9NX62,active,high,False,,"Exhibits 3'-nucleotidase activity toward adenosine 3',5'-bisphosphate (PAP), namely hydrolyzes adenosine 3',5'-bisphosph"
IMPA2,O14732,active,high,False,,"Phosphatase that can use myo-inositol monophosphates, myo-inositol 1,4-diphosphate, scyllo-inositol-1,4-diphosphate, glu"
DNMT1,P26358,active,high,False,,DNA methyltransferase that methylates CpG residues. Preferentially methylates hemimethylated DNA. Associates with DNA re
TRDMT1,O14717,active,high,False,,Specifically methylates cytosine 38 in the anticodon loop of tRNA(Asp). Has higher activity on tRNA(Asp) modified with q
DNMT3A,Q9Y6K1,active,high,False,,Required for genome-wide de novo methylation and is essential for the establishment of DNA methylation patterns during d
DNMT3B,Q9UBC3,active,high,False,,Required for genome-wide de novo methylation and is essential for the establishment of DNA methylation patterns during d
MMP3,P08254,active,high,False,,"Metalloproteinase with a rather broad substrate specificity that can degrade fibronectin, laminin, gelatins of type I, I"
MMP10,P09238,active,high,False,,"Can degrade fibronectin, gelatins of type I, III, IV, and V; weakly collagens III, IV, and V. Activates procollagenase."
MMP1,P03956,active,high,False,,"Cleaves collagens of types I, II, and III at one site in the helical domain. Also cleaves collagens of types VII and X. "
MMP13,P45452,active,high,False,,"Plays a role in the degradation of extracellular matrix proteins including fibrillar collagen, fibronectin, TNC and ACAN"
MMP8,P22894,active,high,False,,"Can degrade fibrillar type I, II, and III collagens."
MMP12,P39900,active,high,False,,May be involved in tissue injury and remodeling. Has significant elastolytic activity. Can accept large and small amino 
