target_acc,gene,home_family_name,mr_top_class,pocket_retention,struct_conf,metabolite_relevance,metabolite_relevance_bin,mr_rank,override_pos,sensor_priority
Q8TE99,PXYLP1,high molecular weight acid phosphatase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P00748,F12,t-plasminogen activator,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P06744,GPI,glucose-6-phosphate isomerase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P00480,OTC,ornithine carbamoyltransferase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P14616,INSRR,receptor protein-tyrosine kinase,nucleotide(ATP/ADP/AMP),1.0,0.7,0.7,high,5,False,0.0
P07101,TH,tyrosine 3-monooxygenase,cofactor(folate),1.0,0.7,0.7,high,5,False,0.0
P08254,MMP3,stromelysin 1,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P46459,NSF,vesicle-fusing ATPase,nucleotide(ATP/ADP/AMP),1.0,0.7,0.7,high,5,False,0.0
P06737,PYGL,Glycogen phosphorylase,cofactor(PLP),1.0,0.7,0.7,high,5,False,0.0
P00326,ADH1C,alcohol dehydrogenase (class I),redox-cofactor(NAD),1.0,0.7,0.7,high,5,False,0.0
P12821,ACE,peptidyl-dipeptidase A,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P49441,INPP1,"inositol-1,4-bisphosphate 1-phosphatase",metal,1.0,0.7,0.7,high,5,False,0.0
Q16762,TST,thiosulfate sulfurtransferase (eukaryotic),substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q8WVB6,CHTF18,DNA helicase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q8IV48,ERI1,3'-5' exoribonuclease 1,nucleotide(ATP/ADP/AMP),1.0,0.7,0.7,high,5,False,0.0
O60930,RNASEH1,ribonuclease HI,metal,1.0,0.7,0.7,high,5,False,0.0
P35251,RFC1,DNA helicase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q16775,HAGH,hydroxyacylglutathione hydrolase,glutathione/thiol,1.0,0.7,0.7,high,5,False,0.0
Q99436,PSMB7,proteasome endopeptidase complex,metal,1.0,0.7,0.7,high,5,False,0.0
P40306,PSMB10,proteasome endopeptidase complex,metal,1.0,0.7,0.7,high,5,False,0.0
P22830,FECH,ferrochelatase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P19367,HK1,hexokinase (type I),nucleotide(ATP/ADP/AMP),1.0,0.7,0.7,high,5,False,0.0
Q68D91,MBLAC2,hydroxyacylglutathione hydrolase,glutathione/thiol,1.0,0.7,0.7,high,5,False,0.0
P00750,PLAT,t-plasminogen activator,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P04035,HMGCR,hydroxymethylglutaryl-CoA reductase (NADPH),redox-cofactor(NADP),1.0,0.7,0.7,high,5,False,0.0
Q92831,KAT2B,histone acetyltransferase (GCN5 family),acyl-CoA / CoA,1.0,0.7,0.7,high,5,False,0.0
P11216,PYGB,Glycogen phosphorylase,cofactor(PLP),1.0,0.7,0.7,high,5,False,0.0
Q92830,KAT2A,histone acetyltransferase (GCN5 family),acyl-CoA / CoA,1.0,0.7,0.7,high,5,False,0.0
O60760,HPGDS,prostaglandin-D synthase,glutathione/thiol,1.0,0.7,0.7,high,5,False,0.0
P60174,TPI1,triosephosphate isomerase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P00374,DHFR,dihydrofolate reductase (mammalian),substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q86XF0,DHFR2,dihydrofolate reductase (mammalian),substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P48637,GSS,glutathione synthase (eukaryotic),nucleotide(ATP/ADP/AMP),1.0,0.7,0.7,high,5,False,0.0
Q04760,GLO1,lactoylglutathione lyase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P24666,ACP1,low molecular weight phosphotyrosine protein phosphatase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P26572,MGAT1,"alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",sugar-nucleotide,1.0,0.7,0.7,high,5,False,0.0
Q99797,MIPEP,neurolysin,metal,1.0,0.7,0.7,high,5,False,0.0
P15559,NQO1,NAD(P)H dehydrogenase (quinone),redox-cofactor(FAD),1.0,0.7,0.7,high,5,False,0.0
P37268,FDFT1,squalene synthase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q14191,WRN,ribonuclease D,metal,1.0,0.7,0.7,high,5,False,0.0
P11217,PYGM,Glycogen phosphorylase,cofactor(PLP),1.0,0.7,0.7,high,5,False,0.0
O94953,KDM4B,lysine-specific [histone H3] demethylase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q96AT9,RPE,ribulose-phosphate 3-epimerase (cytoplasmic),metal,1.0,0.7,0.7,high,5,False,0.0
Q2QD12,RPEL1,ribulose-phosphate 3-epimerase (cytoplasmic),metal,1.0,0.7,0.7,high,5,False,0.0
P16298,PPP3CB,serine/threonine-protein phosphatase 5,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q15303,ERBB4,ERBB/EGFR receptor tyrosine kinase (curated),nucleotide(ATP/ADP/AMP),1.0,0.7,0.7,high,5,False,0.0
P00533,EGFR,ERBB/EGFR receptor tyrosine kinase (curated),nucleotide(ATP/ADP/AMP),1.0,0.7,0.7,high,5,False,0.0
O00442,RTCA,RNA-3'-phosphate cyclase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q8WWH5,TRUB1,tRNA-pseudouridine synthase,metal,1.0,0.7,0.7,high,5,False,0.0
O75976,CPD,carboxypeptidase A,metal,1.0,0.7,0.7,high,5,False,0.0
O60832,DKC1,tRNA-pseudouridine synthase,metal,1.0,0.7,0.7,high,5,False,0.0
P15169,CPN1,carboxypeptidase A,metal,1.0,0.7,0.7,high,5,False,0.0
P14384,CPM,carboxypeptidase A,metal,1.0,0.7,0.7,high,5,False,0.0
P16870,CPE,carboxypeptidase A,metal,1.0,0.7,0.7,high,5,True,0.7
Q04609,FOLH1,bacterial leucyl aminopeptidase,metal,1.0,0.7,0.7,high,5,False,0.0
P00491,PNP,purine-nucleoside phosphorylase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q13126,MTAP,S-methyl-5'-thioadenosine phosphorylase,methyl-donor(SAM/SAH),1.0,0.7,0.7,high,5,False,0.0
P29466,CASP1,caspase-1,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P55211,CASP9,caspase-8,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q66K79,CPZ,carboxypeptidase A,metal,1.0,0.7,0.7,high,5,False,0.0
Q99873,PRMT1,type I protein arginine methyltransferase,methyl-donor(SAM/SAH),1.0,0.7,0.7,high,5,False,0.0
Q9NR22,PRMT8,type I protein arginine methyltransferase,methyl-donor(SAM/SAH),1.0,0.7,0.7,high,5,False,0.0
P42575,CASP2,caspase-1,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
A4D2B0,MBLAC1,beta-lactamase (Class B1),metal,1.0,0.7,0.7,high,5,False,0.0
P55212,CASP6,caspase-3,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q96PD5,PGLYRP2,N-acetylmuramoyl-L-alanine amidase,metal,1.0,0.7,0.7,high,5,False,0.0
P16455,MGMT,methylated-DNA--[protein]-cysteine S-methyltransferase,metal,1.0,0.7,0.7,high,5,False,0.0
Q14790,CASP8,caspase-8,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q8IVL8,CPO,carboxypeptidase A,metal,1.0,0.7,0.7,high,5,False,0.0
Q9HBA9,FOLH1B,bacterial leucyl aminopeptidase,metal,1.0,0.7,0.7,high,5,False,0.0
P11926,ODC1,ornithine decarboxylase,cofactor(PLP),1.0,0.7,0.7,high,5,False,0.0
P15085,CPA1,carboxypeptidase A,metal,1.0,0.7,0.7,high,5,False,0.0
P48052,CPA2,carboxypeptidase A,metal,1.0,0.7,0.7,high,5,False,0.0
Q9UI42,CPA4,carboxypeptidase A,metal,1.0,0.7,0.7,high,5,False,0.0
Q8WXQ8,CPA5,carboxypeptidase A,metal,1.0,0.7,0.7,high,5,False,0.0
P15086,CPB1,carboxypeptidase A,metal,1.0,0.7,0.7,high,5,False,0.0
Q8N4T0,CPA6,carboxypeptidase A,metal,1.0,0.7,0.7,high,5,False,0.0
P05062,ALDOB,fructose-bisphosphate aldolase (Class I),substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P09972,ALDOC,fructose-bisphosphate aldolase (Class I),substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P04075,ALDOA,fructose-bisphosphate aldolase (Class I),substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P15088,CPA3,carboxypeptidase A,metal,1.0,0.7,0.7,high,5,False,0.0
Q9Y3Q0,NAALAD2,bacterial leucyl aminopeptidase,metal,1.0,0.7,0.7,high,5,False,0.0
P48735,IDH2,isocitrate dehydrogenase (NADP+),substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q96IY4,CPB2,carboxypeptidase A,metal,1.0,0.7,0.7,high,5,False,0.0
Q9BUB5,MKNK1,phosphorylase kinase,nucleotide(ATP/ADP/AMP),1.0,0.7,0.7,high,5,True,0.7
P35520,CBS,cystathionine beta-synthase,cofactor(PLP),1.0,0.7,0.7,high,5,False,0.0
P42574,CASP3,caspase-3,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q9Y2C4,EXOG,nuclease,metal,1.0,0.7,0.7,high,5,False,0.0
P00492,HPRT1,hypoxanthine phosphoribosyltransferase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P29474,NOS3,nitric-oxide synthase,cofactor(folate),1.0,0.7,0.7,high,5,False,0.0
P15289,ARSA,cerebroside-sulfatase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P36873,PPP1CC,serine/threonine-protein phosphatase 5,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P15309,ACP3,high molecular weight acid phosphatase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P51688,SGSH,N-sulfoglucosamine sulfohydrolase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P62136,PPP1CA,serine/threonine-protein phosphatase 5,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
O14983,ATP2A1,Ca(II)-transporting ATPase,metal,1.0,0.7,0.7,high,5,False,0.0
P16233,PNLIP,triacylglycerol lipase (pancreatic),metal,1.0,0.7,0.7,high,5,False,0.0
Q9NPH0,ACP6,high molecular weight acid phosphatase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P30613,PKLR,pyruvate kinase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P54317,PNLIPRP2,triacylglycerol lipase (pancreatic),metal,1.0,0.7,0.7,high,5,False,0.0
P14618,PKM,pyruvate kinase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q9UGP5,POLL,DNA nucleotidylexotransferase,metal,1.0,0.7,0.7,high,5,False,0.0
O00743,PPP6C,serine/threonine-protein phosphatase 5,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
O14830,PPEF2,serine/threonine-protein phosphatase 5,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
O14829,PPEF1,serine/threonine-protein phosphatase 5,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P60510,PPP4C,serine/threonine-protein phosphatase 5,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P04626,ERBB2,ERBB/EGFR receptor tyrosine kinase (curated),nucleotide(ATP/ADP/AMP),1.0,0.7,0.7,high,5,False,0.0
P11586,MTHFD1,methylenetetrahydrofolate dehydrogenase (NADP+),redox-cofactor(NADP),1.0,0.7,0.7,high,5,False,0.0
Q96DP5,MTFMT,glycinamide ribonucleotide transformylase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P55210,CASP7,caspase-3,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P15121,AKR1B1,aldehyde reductase,redox-cofactor(NADP),1.0,0.7,0.7,high,5,False,0.0
Q14249,ENDOG,nuclease,metal,1.0,0.7,0.7,high,5,False,0.0
Q9UQQ1,NAALADL1,bacterial leucyl aminopeptidase,metal,1.0,0.7,0.7,high,5,False,0.0
P13929,ENO3,phosphopyruvate hydratase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
O15527,OGG1,8-oxoguanine DNA-glycosylase (type-1 OGG1 family),substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P17707,AMD1,adenosylmethionine decarboxylase (eukaryotic),substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P00441,SOD1,superoxide dismutase,metal,1.0,0.7,0.7,high,5,False,0.0
P08294,SOD3,superoxide dismutase,metal,1.0,0.7,0.7,high,5,False,0.0
P28838,LAP3,leucyl aminopeptidase,metal,1.0,0.7,0.7,high,5,False,0.0
Q04828,AKR1C1,indanol dehydrogenase,redox-cofactor(NADP),1.0,0.7,0.7,high,5,False,0.0
O60218,AKR1B10,aldehyde reductase,redox-cofactor(NADP),1.0,0.7,0.7,high,5,False,0.0
P62140,PPP1CB,serine/threonine-protein phosphatase 5,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q93084,ATP2A3,Ca(II)-transporting ATPase,metal,1.0,0.7,0.7,high,5,False,0.0
P16615,ATP2A2,Ca(II)-transporting ATPase,metal,1.0,0.7,0.7,high,5,False,0.0
Q9UMR5,PPT2,palmitoyl[protein] hydrolase (type 2),substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P09960,LTA4H,leukotriene-A4 hydrolase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P06746,POLB,DNA nucleotidylexotransferase,metal,1.0,0.7,0.7,high,5,False,0.0
P20933,AGA,N4-(beta-N-acetylglucosaminyl)-L-asparaginase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q9BZJ3,TPSD1,trypsin,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P11766,ADH5,alcohol dehydrogenase (class III),redox-cofactor(NAD),1.0,0.7,0.7,high,5,False,0.0
P27169,PON1,arylesterase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q9UBX8,B4GALT6,"β-N-acetylglucosaminylglycopeptide β-1,4-galactosyltransferase",sugar-nucleotide,1.0,0.7,0.7,high,5,False,0.0
Q00722,PLCB2,phosphoinositide phospholipase C,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q9P212,PLCE1,phosphoinositide phospholipase C,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P27695,APEX1,8-oxoguanine DNA-glycosylase (ExoA family),metal,1.0,0.7,0.7,high,5,False,0.0
P34931,HSPA1L,adenosinetriphosphatase,nucleotide(ATP/ADP/AMP),1.0,0.7,0.7,high,5,False,0.0
Q9HBH1,PDF,peptide deformylase,metal,1.0,0.7,0.7,high,5,False,0.0
P31040,SDHA,succinate dehydrogenase (ubiquinone),redox-cofactor(FAD),1.0,0.7,0.7,high,5,False,0.0
P16444,DPEP1,membrane dipeptidase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P16118,PFKFB1,"fructose-2,6-bisphosphate 2-phosphatase",nucleotide(ATP/ADP/AMP),1.0,0.7,0.7,high,5,False,0.0
O43286,B4GALT5,"β-N-acetylglucosaminylglycopeptide β-1,4-galactosyltransferase",sugar-nucleotide,1.0,0.7,0.7,high,5,False,0.0
O43570,CA12,carbonate dehydratase (alpha class),metal,1.0,0.7,0.7,high,5,False,0.0
Q16877,PFKFB4,"fructose-2,6-bisphosphate 2-phosphatase",nucleotide(ATP/ADP/AMP),1.0,0.7,0.7,high,5,False,0.0
P54652,HSPA2,adenosinetriphosphatase,nucleotide(ATP/ADP/AMP),1.0,0.7,0.7,high,5,False,0.0
P11021,HSPA5,adenosinetriphosphatase,nucleotide(ATP/ADP/AMP),1.0,0.7,0.7,high,5,False,0.0
Q9NPB1,NT5M,5'-nucleotidase (mitochondrial),substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q05513,PRKCZ,protein kinase C,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q9BYJ1,ALOXE3,linoleate 9S-lipoxygenase,metal,1.0,0.7,0.7,high,5,False,0.0
P35558,PCK1,phosphoenolpyruvate carboxykinase (GTP),substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q6IMI6,SULT1C3,estrone sulfotransferase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q01970,PLCB3,phosphoinositide phospholipase C,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q9UKK9,NUDT5,ADP-ribose diphosphatase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q15147,PLCB4,phosphoinositide phospholipase C,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P16885,PLCG2,phosphoinositide phospholipase C,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P05164,MPO,myeloperoxidase,redox-cofactor(heme),1.0,0.7,0.7,high,5,False,0.0
P23280,CA6,carbonate dehydratase (alpha class),metal,1.0,0.7,0.7,high,5,False,0.0
Q16790,CA9,carbonate dehydratase (alpha class),metal,1.0,0.7,0.7,high,5,False,0.0
P00390,GSR,glutathione-disulfide reductase,redox-cofactor(FAD),1.0,0.7,0.7,high,5,False,0.0
P22748,CA4,carbonate dehydratase (alpha class),metal,1.0,0.7,0.7,high,5,False,0.0
P31939,ATIC,phosphoribosylaminoimidazolecarboxamide formyltransferase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q96KR4,LMLN,leishmanolysin,metal,1.0,0.7,0.7,high,5,False,0.0
A0A1B0GTW7,CIROP,leishmanolysin,metal,1.0,0.7,0.7,high,5,False,0.0
P51178,PLCD1,phosphoinositide phospholipase C,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q9BRC7,PLCD4,phosphoinositide phospholipase C,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q8N3E9,PLCD3,phosphoinositide phospholipase C,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P49366,DHPS,deoxyhypusine synthase,redox-cofactor(NAD),1.0,0.7,0.7,high,5,False,0.0
O75038,PLCH2,phosphoinositide phospholipase C,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q02127,DHODH,dihydroorotate oxidase (class II),redox-cofactor(FMN),1.0,0.7,0.7,high,5,False,0.0
Q16816,PHKG1,phosphorylase kinase,nucleotide(ATP/ADP/AMP),1.0,0.7,0.7,high,5,False,0.0
Q4KWH8,PLCH1,phosphoinositide phospholipase C,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P19174,PLCG1,phosphoinositide phospholipase C,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P34897,SHMT2,serine hydroxymethyltransferase,cofactor(PLP),1.0,0.7,0.7,high,5,False,0.0
P34896,SHMT1,serine hydroxymethyltransferase,cofactor(PLP),1.0,0.7,0.7,high,5,False,0.0
Q16134,ETFDH,electron-transferring-flavoprotein dehydrogenase,redox-cofactor(FAD),1.0,0.7,0.7,high,5,False,0.0
Q9BYK8,HELZ2,RNAse II,metal,1.0,0.7,0.7,high,5,False,0.0
P18054,ALOX12,linoleate 9S-lipoxygenase,metal,1.0,0.7,0.7,high,5,False,0.0
Q9Y2L1,DIS3,RNAse II,metal,1.0,0.7,0.7,high,5,False,0.0
Q15119,PDK2,[pyruvate dehydrogenase (acetyl-transferring)] kinase,nucleotide(ATP/ADP/AMP),1.0,0.7,0.7,high,5,False,0.0
Q15118,PDK1,[pyruvate dehydrogenase (acetyl-transferring)] kinase,nucleotide(ATP/ADP/AMP),1.0,0.7,0.7,high,5,False,0.0
Q15120,PDK3,[pyruvate dehydrogenase (acetyl-transferring)] kinase,nucleotide(ATP/ADP/AMP),1.0,0.7,0.7,high,5,False,0.0
Q16654,PDK4,[pyruvate dehydrogenase (acetyl-transferring)] kinase,nucleotide(ATP/ADP/AMP),1.0,0.7,0.7,high,5,False,0.0
Q8TF46,DIS3L,RNAse II,metal,1.0,0.7,0.7,high,5,False,0.0
P40925,MDH1,malate dehydrogenase (type 2),redox-cofactor(NAD),1.0,0.7,0.7,high,5,False,0.0
P34949,MPI,mannose-6-phosphate isomerase (type I),metal,1.0,0.7,0.7,high,5,False,0.0
Q16854,DGUOK,deoxyguanosine kinase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P09471,GNAO1,"G-protein alpha subunit, group I (GTPase)",nucleotide(GTP/GDP),1.0,0.7,0.7,high,5,False,0.0
Q02750,MAP2K1,mitogen-activated protein kinase kinase,nucleotide(ATP/ADP/AMP),1.0,0.7,0.7,high,5,True,0.7
Q8IYB7,DIS3L2,RNAse II,metal,1.0,0.7,0.7,high,5,False,0.0
Q9HCC8,GDPD2,glycerophosphodiester phosphodiesterase,metal,1.0,0.7,0.7,high,5,False,0.0
Q6W3E5,GDPD4,glycerophosphodiester phosphodiesterase,metal,1.0,0.7,0.7,high,5,False,0.0
P36507,MAP2K2,mitogen-activated protein kinase kinase,nucleotide(ATP/ADP/AMP),1.0,0.7,0.7,high,5,True,0.7
O75342,ALOX12B,linoleate 9S-lipoxygenase,metal,1.0,0.7,0.7,high,5,False,0.0
P09917,ALOX5,linoleate 9S-lipoxygenase,metal,1.0,0.7,0.7,high,5,False,0.0
P49888,SULT1E1,estrone sulfotransferase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
O43704,SULT1B1,estrone sulfotransferase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P34096,RNASE4,ribonuclease 4,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q16822,PCK2,phosphoenolpyruvate carboxykinase (GTP),substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P23526,AHCY,adenosylhomocysteinase,redox-cofactor(NAD),1.0,0.7,0.7,high,5,False,0.0
Q13569,TDG,double-stranded uracil-DNA glycosylase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
Q9Y6L7,TLL2,astacin,metal,1.0,0.7,0.7,high,5,False,0.0
O60909,B4GALT2,"β-N-acetylglucosaminylglycopeptide β-1,4-galactosyltransferase",sugar-nucleotide,1.0,0.7,0.7,high,5,False,0.0
P50226,SULT1A2,estrone sulfotransferase,substrate/ligand(other),1.0,0.7,0.7,high,5,False,0.0
P16435,POR,NADPH-hemoprotein reductase,redox-cofactor(NADP),1.0,0.7,0.7,high,5,False,0.0
P13497,BMP1,astacin,metal,1.0,0.7,0.7,high,5,False,0.0
