target_acc,gene,home_family_name,mr_top_class,expected_cofactor,experimental_channel,channel_note,cofactor_predicted,cofactor_observed,n_cof_observed,cofactor_concordance,override_pos,metabolite_relevance
O00748,CES2,bile salt-activated lipase,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.10395000000000001
P22303,ACHE,bile salt-activated lipase,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.04095
Q6UWW8,CES3,bile salt-activated lipase,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,True,0.06615
Q6NT32,CES5A,bile salt-activated lipase,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,True,0.10395000000000001
P01266,TG,triacylglycerol lipase (type B carboxylestrase),substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,True,0.03465
Q9UKY3,CES1P1,bile salt-activated lipase,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,True,0.1575
P22760,AADAC,triacylglycerol lipase (type B carboxylestrase),substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.1575
Q6P093,AADACL2,bile salt-activated lipase,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,True,0.07875
Q9Y223,GNE,UDP-N-acetylglucosamine 2-epimerase,nucleotide(pyrimidine),UTP,nucleotide_predicted,"structure-predicted pocket; NOT in PISA/PELSA panel (predicted, not measured)",UTP,CoA;FAD;FMN;MeB12;NADH;NADPH;PLP;PQQ;THF;ascorbic_acid;folinic_acid,11,predicted_not_measurable,False,0.3584
Q13231,CHIT1,"chitinase (GH18, class II)",substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
P36222,CHI3L1,"chitinase (GH18, class II)",substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,True,0.0
Q9BZP6,CHIA,"chitinase (GH18, class II)",substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
Q15782,CHI3L2,"chitinase (GH18, class II)",substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,True,0.0
Q12889,OVGP1,"chitinase (GH18, class II)",substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,True,0.0
Q01459,CTBS,"chitinase (GH18, class II)",substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
P09668,CTSH,cathepsin S,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,CoA;FMN;MeB12;NADPH;THF;TPP;ascorbic_acid;folinic_acid,8,no_prediction,False,0.0
O60911,CTSV,cathepsin S,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,FMN,1,no_prediction,False,0.0
P07711,CTSL,cathepsin S,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,NADH;NADPH,2,no_prediction,False,0.0
P43235,CTSK,cathepsin S,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
P25774,CTSS,cathepsin S,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
P56202,CTSW,papain,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,True,0.1575
Q9UBX1,CTSF,cathepsin S,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
P43234,CTSO,cathepsin S,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.0
P53634,CTSC,papain,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,CoA;FAD;FMN;NADPH;PQQ;THF;TPP;ascorbic_acid;folinic_acid,9,no_prediction,False,0.20475000000000002
Q9GZM7,TINAGL1,cathepsin S,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,True,0.0
P07858,CTSB,cathepsin X,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,CoA;FAD;FMN;NADPH;PLP;PQQ;THF;TPP,8,no_prediction,False,0.0
Q9UBR2,CTSZ,cathepsin S,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,NADPH,1,no_prediction,False,0.0
Q9UJW2,TINAG,cathepsin S,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,True,0.0
Q5NE16,CTSL3P,cathepsin H,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,True,0.0
Q13867,BLMH,bleomycin hydrolase,metal,,blind_metal,metal/Fe-S site; outside cofactor assay scope,,CoA;FAD;NADH;NADPH;THF;TPP;ascorbic_acid;folinic_acid,8,no_prediction,False,0.060200000000000004
Q86VQ6,TXNRD3,protein disulfide oxidoreductase,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,NADP;NADPH,FMN;PLP;PQQ;THF;ascorbic_acid,5,observed_other,False,0.0
Q16881,TXNRD1,protein disulfide oxidoreductase,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,NADP;NADPH,CoA;FAD;FMN;MeB12;PLP;PQQ;THF;TPP;ascorbic_acid;folinic_acid,10,observed_other,False,0.0
P00390,GSR,glutathione-disulfide reductase,redox-cofactor(FAD),FAD,measurable,in PISA/PELSA panel,FAD;NADP;NADPH,CoA;FAD;FMN;NADH;NADPH;PQQ;THF;TPP;ascorbic_acid;folinic_acid,10,observed_concordant,False,0.6649999999999999
P09622,DLD,glutathione-disulfide reductase,redox-cofactor(FAD),FAD,measurable,in PISA/PELSA panel,FAD;NADP;NADPH,CoA;FAD;FMN;NADH;PLP;PQQ;TPP;ascorbic_acid,8,observed_concordant,False,0.40565
Q9NNW7,TXNRD2,glutathione-disulfide reductase,redox-cofactor(FAD),FAD,measurable,in PISA/PELSA panel,FAD;NADP;NADPH,CoA;FAD;TPP;ascorbic_acid;folinic_acid,5,observed_concordant,False,0.53865
Q8N2H3,PYROXD2,"2-oxopropyl-CoM reductase, carboxylating",redox-cofactor(FAD),FAD,measurable,in PISA/PELSA panel,FAD;FMN;NADP,,0,predicted_not_observed,True,0.19949999999999998
Q8NB78,KDM1B,"polyamine oxidase (propane-1,3-diamine-forming)",redox-cofactor(FAD),FAD,measurable,in PISA/PELSA panel,FAD;FMN;NADP,PQQ;ascorbic_acid,2,observed_other,False,0.3591
P42357,HAL,histidine ammonia-lyase,cofactor(lipoate/PQQ/other),PQQ,measurable,in PISA/PELSA panel,PQQ,,0,predicted_not_observed,False,0.5319999999999999
P22079,LPO,Lactoperoxidase,redox-cofactor(heme),heme,not_applicable,no defined small-molecule cofactor,heme,,0,predicted_not_observed,False,0.5096
P05164,MPO,myeloperoxidase,redox-cofactor(heme),heme,not_applicable,no defined small-molecule cofactor,heme,,0,predicted_not_observed,False,0.5599999999999999
P11678,EPX,myeloperoxidase,redox-cofactor(heme),heme,not_applicable,no defined small-molecule cofactor,heme,,0,predicted_not_observed,False,0.5319999999999999
P07202,TPO,myeloperoxidase,redox-cofactor(heme),heme,not_applicable,no defined small-molecule cofactor,heme,,0,predicted_not_observed,True,0.504
Q92626,PXDN,myeloperoxidase,redox-cofactor(heme),heme,not_applicable,no defined small-molecule cofactor,heme,PQQ,1,observed_other,False,0.44800000000000006
A1KZ92,PXDNL,myeloperoxidase,redox-cofactor(heme),heme,not_applicable,no defined small-molecule cofactor,heme,,0,predicted_not_observed,True,0.364
Q9NRD9,DUOX1,Lactoperoxidase,redox-cofactor(heme),heme,not_applicable,no defined small-molecule cofactor,heme,,0,predicted_not_observed,False,0.20719999999999997
Q9NRD8,DUOX2,Lactoperoxidase,redox-cofactor(heme),heme,not_applicable,no defined small-molecule cofactor,heme,,0,predicted_not_observed,False,0.21280000000000002
P35354,PTGS2,prostaglandin-endoperoxide synthase,redox-cofactor(heme),heme,not_applicable,no defined small-molecule cofactor,heme,,0,predicted_not_observed,False,0.5264
O94766,B3GAT3,galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.315
Q9P2W7,B3GAT1,galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.2961
Q9NPZ5,B3GAT2,galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,,0,no_prediction,False,0.28035
Q99798,ACO2,aconitate hydratase,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,CoA;FAD;FMN;PLP;THF;TPP;ascorbic_acid,7,no_prediction,False,0.315
P21399,ACO1,aconitate hydratase,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,CoA;FAD;FMN;MeB12;NADH;NADPH;THF;TPP;ascorbic_acid;folinic_acid,10,no_prediction,False,0.2709
Q9UJM8,HAO1,L-lactate dehydrogenase (cytochrome),redox-cofactor(FMN),FMN,measurable,in PISA/PELSA panel,FMN,,0,predicted_not_observed,False,0.5253499999999999
Q9NYQ3,HAO2,L-lactate dehydrogenase (cytochrome),redox-cofactor(FMN),FMN,measurable,in PISA/PELSA panel,FMN,,0,predicted_not_observed,False,0.4522
P10619,CTSA,carboxypeptidase D,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,FAD;FMN;NADPH;PQQ;THF;TPP;ascorbic_acid,7,no_prediction,True,0.04410000000000001
Q9H3G5,CPVL,carboxypeptidase D,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,CoA;FMN;MeB12;NADH;NADPH;THF;TPP;ascorbic_acid;folinic_acid,9,no_prediction,True,0.09135
Q9HB40,SCPEP1,carboxypeptidase D,substrate/ligand(other),,not_applicable,no defined small-molecule cofactor,,FAD;FMN;MeB12;NADH;NADPH;PQQ;THF;TPP;ascorbic_acid;folinic_acid,10,no_prediction,True,0.13545
Q96NN9,AIFM3,Thioredoxin reductase,redox-cofactor(FAD),FAD,measurable,in PISA/PELSA panel,FAD,,0,predicted_not_observed,True,0.437
Q9BRQ8,AIFM2,Thioredoxin reductase,redox-cofactor(FAD),FAD,measurable,in PISA/PELSA panel,FAD;NADP,,0,predicted_not_observed,False,0.4322499999999999
O95831,AIFM1,Thioredoxin reductase,redox-cofactor(FAD),FAD,measurable,in PISA/PELSA panel,FAD;NADP,FAD;FMN;NADH;NADPH;THF;TPP;ascorbic_acid;folinic_acid,8,observed_concordant,False,0.28595
Q8WU10,PYROXD1,Thioredoxin reductase,redox-cofactor(FAD),FAD,measurable,in PISA/PELSA panel,FAD;NADP,NADH;NADPH,2,observed_concordant,False,0.21944999999999998
P08684,CYP3A4,6-deoxyerythronolide B hydroxylase,redox-cofactor(heme),heme,not_applicable,no defined small-molecule cofactor,heme,,0,predicted_not_observed,False,0.3248
P20815,CYP3A5,6-deoxyerythronolide B hydroxylase,redox-cofactor(heme),heme,not_applicable,no defined small-molecule cofactor,heme,,0,predicted_not_observed,False,0.3248
P24462,CYP3A7,6-deoxyerythronolide B hydroxylase,redox-cofactor(heme),heme,not_applicable,no defined small-molecule cofactor,heme,,0,predicted_not_observed,False,0.3248
Q9HB55,CYP3A43,6-deoxyerythronolide B hydroxylase,redox-cofactor(heme),heme,not_applicable,no defined small-molecule cofactor,heme,,0,predicted_not_observed,False,0.27999999999999997
Q6V0L0,CYP26C1,6-deoxyerythronolide B hydroxylase,redox-cofactor(heme),heme,not_applicable,no defined small-molecule cofactor,heme,,0,predicted_not_observed,False,0.2968
Q6ZWL3,CYP4V2,6-deoxyerythronolide B hydroxylase,redox-cofactor(heme),heme,not_applicable,no defined small-molecule cofactor,heme,,0,predicted_not_observed,False,0.2352
P11712,CYP2C9,6-deoxyerythronolide B hydroxylase,redox-cofactor(heme),heme,not_applicable,no defined small-molecule cofactor,heme,,0,predicted_not_observed,False,0.2968
P33261,CYP2C19,6-deoxyerythronolide B hydroxylase,redox-cofactor(heme),heme,not_applicable,no defined small-molecule cofactor,heme,,0,predicted_not_observed,False,0.2968
P10632,CYP2C8,6-deoxyerythronolide B hydroxylase,redox-cofactor(heme),heme,not_applicable,no defined small-molecule cofactor,heme,,0,predicted_not_observed,False,0.3248
P33260,CYP2C18,6-deoxyerythronolide B hydroxylase,redox-cofactor(heme),heme,not_applicable,no defined small-molecule cofactor,heme,,0,predicted_not_observed,False,0.31360000000000005
P24557,TBXAS1,6-deoxyerythronolide B hydroxylase,redox-cofactor(heme),heme,not_applicable,no defined small-molecule cofactor,heme,,0,predicted_not_observed,False,0.34159999999999996
O15528,CYP27B1,6-deoxyerythronolide B hydroxylase,redox-cofactor(heme),heme,not_applicable,no defined small-molecule cofactor,heme,,0,predicted_not_observed,False,0.34159999999999996
Q4G0S4,CYP27C1,6-deoxyerythronolide B hydroxylase,redox-cofactor(heme),heme,not_applicable,no defined small-molecule cofactor,NAD;NADH;heme,,0,predicted_not_observed,False,0.3248
P20853,CYP2A7,6-deoxyerythronolide B hydroxylase,redox-cofactor(heme),heme,not_applicable,no defined small-molecule cofactor,heme,,0,predicted_not_observed,True,0.46399999999999997
P11509,CYP2A6,6-deoxyerythronolide B hydroxylase,redox-cofactor(heme),heme,not_applicable,no defined small-molecule cofactor,heme,,0,predicted_not_observed,False,0.2968
Q02318,CYP27A1,6-deoxyerythronolide B hydroxylase,redox-cofactor(heme),heme,not_applicable,no defined small-molecule cofactor,heme,,0,predicted_not_observed,False,0.3248
Q16696,CYP2A13,6-deoxyerythronolide B hydroxylase,redox-cofactor(heme),heme,not_applicable,no defined small-molecule cofactor,heme,,0,predicted_not_observed,True,0.46399999999999997
Q9NR63,CYP26B1,6-deoxyerythronolide B hydroxylase,redox-cofactor(heme),heme,not_applicable,no defined small-molecule cofactor,heme,,0,predicted_not_observed,False,0.2968
Q9HCS2,CYP4F12,6-deoxyerythronolide B hydroxylase,redox-cofactor(heme),heme,not_applicable,no defined small-molecule cofactor,heme,,0,predicted_not_observed,False,0.2352
P05181,CYP2E1,6-deoxyerythronolide B hydroxylase,redox-cofactor(heme),heme,not_applicable,no defined small-molecule cofactor,heme,,0,predicted_not_observed,False,0.3248
Q9HBI6,CYP4F11,6-deoxyerythronolide B hydroxylase,redox-cofactor(heme),heme,not_applicable,no defined small-molecule cofactor,heme,,0,predicted_not_observed,False,0.2352
Q08477,CYP4F3,6-deoxyerythronolide B hydroxylase,redox-cofactor(heme),heme,not_applicable,no defined small-molecule cofactor,heme,,0,predicted_not_observed,False,0.2352
